true_sku,onbuy_sku,opc,recorded
487282997967,487283000000,PXM277P,2026-09-03
776674528774,776675000000,PXM27FG,2026-09-03
779418705325,779419000000,PXM27DT,2026-09-03
780129323401,780129000000,PXM27DS,2026-09-03
784453785409,784454000000,PXM27F5,2026-09-03
789928532083,789929000000,PXM27F9,2026-09-03
791061671109,791062000000,PXM27FH,2026-09-03
793227324287,793227000000,PXM27G2,2026-09-03
794568319550,794568000000,PXM27FX,2026-09-03
799786088431,799786000000,PXM27FP,2026-09-03
802736837840,802737000000,PXM27FM,2026-09-03
803093262283,803093000000,PXM27GJ,2026-09-03
816732070408,816732000000,PXM27FS,2026-09-03
823830288833,823830000000,PXM27GB,2026-09-03
825894719025,825895000000,PXM27G5,2026-09-03
831802034609,831802000000,PXM27FK,2026-09-03
833532804835,833533000000,PXM27G9,2026-09-03
838165685530,838166000000,PXM27FW,2026-09-03
843802715822,843803000000,PXM27GC,2026-09-03
845684967405,845685000000,PXM27GF,2026-09-03
846373480359,846373000000,PXM27GG,2026-09-03
848547467852,848547000000,PXM27GP,2026-09-03
854590960424,854591000000,PXM27GN,2026-09-03
859620198082,859620000000,PXM27GQ,2026-09-03
864184578249,864185000000,PXM27GS,2026-09-03
865043473866,865043000000,PXM27GW,2026-09-03
868031796701,868032000000,PXM27H6,2026-09-03
872495013335,872495000000,PXM27HB,2026-09-03
875043161267,875043000000,PXM27GM,2026-09-03
876652164953,876652000000,PXM27GR,2026-09-03
879950660455,879951000000,PXM27GX,2026-09-03
881799208262,881799000000,PXM27GZ,2026-09-03
883970523270,883971000000,PXM27GH,2026-09-03
885738912111,885739000000,PXM27HF,2026-09-03
891494202892,891494000000,PXM27HG,2026-09-03
892737340944,892737000000,PXM27J7,2026-09-03
892869138891,892869000000,PXM27J5,2026-09-03
893157673070,893158000000,PXM27HJ,2026-09-03
895277727879,895278000000,PXM27J6,2026-09-03
897949487289,897949000000,PXM27HP,2026-09-03
898271287417,898271000000,PXM27HX,2026-09-03
898930105786,898930000000,PXM27J8,2026-09-03
899837825395,899838000000,PXM27HW,2026-09-03
920466832864,920467000000,PXM27HZ,2026-09-03
928840099520,928840000000,PXM27HM,2026-09-03
936428471668,936428000000,PXM27JB,2026-09-03
937801571500,937802000000,PXM27HS,2026-09-03
940905366569,940905000000,PXM27J9,2026-09-03
943212113055,943212000000,PXM27HN,2026-09-03
943512562485,943513000000,PXM27HV,2026-09-03
944241091475,944241000000,PXM27HY,2026-09-03
954635464815,954635000000,PXM27JM,2026-09-03
955627119003,955627000000,PXM27JK,2026-09-03
955720209533,955720000000,PXM27JC,2026-09-03
960818518183,960819000000,PXM27JH,2026-09-03
963102712328,963103000000,PXM27KD,2026-09-03
964784445344,964784000000,PXM27K8,2026-09-03
966631246869,966631000000,PXM27K5,2026-09-03
973490777038,973491000000,PXM27KB,2026-09-03
981338366887,981338000000,PXM27JS,2026-09-03
984839607305,984840000000,PXM27JT,2026-09-03
101645723849,101646000000,PXM5755,2026-09-03
104015233849,104015000000,PXM26T7,2026-09-03
106324697640,106325000000,PXM26TC,2026-09-03
107126025501,107126000000,PXM26TF,2026-09-03
111997169844,111997000000,PXM26TQ,2026-09-03
115559926630,115560000000,PXM26T5,2026-09-03
125518602598,125519000000,PXM26TN,2026-09-03
128035353912,128035000000,PXM26SW,2026-09-03
131026866728,131027000000,PXM26T8,2026-09-03
141177388352,141177000000,PXM572Z,2026-09-03
141481870383,141482000000,PXM26SR,2026-09-03
142943399671,142943000000,PXM26TV,2026-09-03
149013638869,149014000000,PXM26V2,2026-09-03
153148171870,153148000000,PXM26TP,2026-09-03
153365507780,153366000000,PXM26VP,2026-09-03
153440743409,153441000000,PXM26VH,2026-09-03
156116954284,156117000000,PXM26TW,2026-09-03
158703298719,158703000000,PXM26W9,2026-09-03
160233580981,160234000000,PXM26TS,2026-09-03
161282829618,161283000000,PXM26VF,2026-09-03
164230192314,164230000000,PXM26VC,2026-09-03
170299975911,170300000000,PXM26VX,2026-09-03
174218978281,174219000000,PXM26VN,2026-09-03
175099700459,175100000000,PXM26TZ,2026-09-03
177464169885,177464000000,PXM26W5,2026-09-03
177716682360,177717000000,PXM26WG,2026-09-03
180813961016,180814000000,PXM26WS,2026-09-03
181142864450,181143000000,PXM26WD,2026-09-03
182160566272,182161000000,PXM26VZ,2026-09-03
186285675338,186286000000,PXM26VV,2026-09-03
187301220020,187301000000,PXM26WR,2026-09-03
188077288801,188077000000,PXM26VW,2026-09-03
188895142002,188895000000,PXM26W7,2026-09-03
190495319913,190495000000,PXM26WF,2026-09-03
191828501401,191829000000,PXM26VY,2026-09-03
195442255320,195442000000,PXM26W2,2026-09-03
196617423179,196617000000,PXM26X5,2026-09-03
200111509038,200112000000,PXM26WC,2026-09-03
210170944695,210171000000,PXM26WM,2026-09-03
212027353131,212027000000,PXM26XF,2026-09-03
212594291898,212594000000,PXM26X9,2026-09-03
219278631674,219279000000,PXM26XS,2026-09-03
219970427438,219970000000,PXM26WV,2026-09-03
220124316058,220124000000,PXM26XK,2026-09-03
220451858214,220452000000,PXM26WT,2026-09-03
223958362536,223958000000,PXM26X8,2026-09-03
230823918231,230824000000,PXM26XT,2026-09-03
233773533370,233774000000,PXM26XP,2026-09-03
246268151058,246268000000,PXM26XN,2026-09-03
247560107958,247560000000,PXM26YF,2026-09-03
248492515156,248493000000,PXM26XR,2026-09-03
254919763994,254920000000,PXM26XQ,2026-09-03
259337523571,259338000000,PXM26XZ,2026-09-03
261220544723,261221000000,PXM26YV,2026-09-03
266458833533,266459000000,PXM26YP,2026-09-03
269351711519,269352000000,PXM26Y2,2026-09-03
269988517287,269989000000,PXM26Y5,2026-09-03
270605564539,270606000000,PXM26YG,2026-09-03
270943137082,270943000000,PXM26YD,2026-09-03
274555731515,274556000000,PXM26YM,2026-09-03
286271317744,286271000000,PXM26YQ,2026-09-03
288953098842,288953000000,PXM26ZD,2026-09-03
294048362378,294048000000,PXM26YR,2026-09-03
295850321126,295850000000,PXM26YN,2026-09-03
301993933727,301994000000,PXM26YT,2026-09-03
738580330186,738580000000,PXM27CN,2026-09-03
740004308978,740004000000,PXM27DD,2026-09-03
746914715677,746915000000,PXM27D6,2026-09-03
751186147255,751186000000,PXM27CV,2026-09-03
752141370589,752141000000,PXM27CK,2026-09-03
755356659364,755357000000,PXM27CP,2026-09-03
758099013547,758099000000,PXM27CT,2026-09-03
761097267980,761097000000,PXM27DG,2026-09-03
763210612745,763211000000,PXM27FC,2026-09-03
766370856172,766371000000,PXM27F8,2026-09-03
767920373439,767920000000,PXM27DW,2026-09-03
769489802689,769490000000,PXM5757,2026-09-03
777260025387,777260000000,PXM27F6,2026-09-03
779238449577,779238000000,PXM27DF,2026-09-03
779443780465,779444000000,PXM27DZ,2026-09-03
779967759596,779968000000,PXM27DX,2026-09-03
782308136895,782308000000,PXM27DM,2026-09-03
784103862238,784104000000,PXM27DN,2026-09-03
789348581371,789349000000,PXM27DQ,2026-09-03
791202565434,791203000000,PXM27FF,2026-09-03
799126904773,799127000000,PXM27GD,2026-09-03
799934283879,799934000000,PXM27FT,2026-09-03
805819782037,805820000000,PXM27FY,2026-09-03
813852691940,813853000000,PXM27FD,2026-09-03
815426690281,815427000000,PXM27FV,2026-09-03
819328271999,819328000000,PXM27FJ,2026-09-03
822741355863,822741000000,PXM27G6,2026-09-03
829436483757,829436000000,PXM27FQ,2026-09-03
830111055831,830111000000,PXM27FR,2026-09-03
830928484633,830928000000,PXM27FN,2026-09-03
832214628547,832215000000,PXM27G8,2026-09-03
837304564019,837305000000,PXM27FZ,2026-09-03
851635335537,851635000000,PXM27GT,2026-09-03
856300435796,856300000000,PXM27GK,2026-09-03
860230759242,860231000000,PXM27H8,2026-09-03
899350176905,899350000000,PXM27HH,2026-09-03
899690655986,899691000000,PXM27HR,2026-09-03
902174606326,902175000000,PXM27HQ,2026-09-03
906508584236,906509000000,PXM27JF,2026-09-03
911899061587,911899000000,PXM27JJ,2026-09-03
914286541938,914287000000,PXM27JD,2026-09-03
922591794376,922592000000,PXM287S,2026-09-03
932677701372,932678000000,PXM2887,2026-09-03
935091869758,935092000000,PXM288X,2026-09-03
938842878368,938843000000,PXM288Y,2026-09-03
940991589187,940992000000,PXM288V,2026-09-03
943123193726,943123000000,PXM289F,2026-09-03
945521262721,945521000000,PXM2895,2026-09-03
947490387344,947490000000,PXM2896,2026-09-03
954506423606,954506000000,PXM289D,2026-09-03
958911433236,958911000000,PXM289V,2026-09-03
968423532709,968424000000,PXM28B5,2026-09-03
968927837676,968928000000,PXM28B7,2026-09-03
975568372145,975568000000,PXM289J,2026-09-03
977709132380,977709000000,PXM28B9,2026-09-03
980604084685,980604000000,PXM28BG,2026-09-03
984345543746,984346000000,PXM28BN,2026-09-03
984383447327,984383000000,PXM28BC,2026-09-03
989820832476,989821000000,PXM28C9,2026-09-03
990380711910,990381000000,PXM28BS,2026-09-03
992399161946,992399000000,PXM28BR,2026-09-03
994874374926,994874000000,PXM28C2,2026-09-03
995762569660,995763000000,PXM28BT,2026-09-03
102999688181,103000000000,PXM27JQ,2026-09-03
104275150696,104275000000,PXM27KN,2026-09-03
104418744027,104419000000,PXM27JZ,2026-09-03
110118566142,110119000000,PXM27K2,2026-09-03
111689398521,111689000000,PXM27K6,2026-09-03
114341247007,114341000000,PXM27KH,2026-09-03
119829808824,119830000000,PXM27JN,2026-09-03
122251298538,122251000000,PXM27KS,2026-09-03
128804135008,128804000000,PXM27KP,2026-09-03
135930062887,135930000000,PXM27M5,2026-09-03
138493370970,138493000000,PXM27KZ,2026-09-03
138635445894,138635000000,PXM27KY,2026-09-03
144137139865,144137000000,PXM27MF,2026-09-03
147102912005,147103000000,PXM27KQ,2026-09-03
148693593185,148694000000,PXM27M6,2026-09-03
150338284211,150338000000,PXM27MB,2026-09-03
152307499527,152307000000,PXM27MT,2026-09-03
152856441718,152856000000,PXM27N6,2026-09-03
157998306796,157998000000,PXM27N2,2026-09-03
159424735286,159425000000,PXM27N9,2026-09-03
181000502623,181001000000,PXM27N8,2026-09-03
181975130562,181975000000,PXM27NF,2026-09-03
185617980737,185618000000,PXM27NR,2026-09-03
203911305091,203911000000,PXM27NS,2026-09-03
204718374310,204718000000,PXM27NQ,2026-09-03
209300788384,209301000000,PXM27P2,2026-09-03
213359772560,213360000000,PXM27NT,2026-09-03
215850543854,215851000000,PXM27NP,2026-09-03
215991468092,215991000000,PXM27PB,2026-09-03
219656703696,219657000000,PXM27PD,2026-09-03
221115020282,221115000000,PXM27NY,2026-09-03
225693438118,225693000000,PXM27Q9,2026-09-03
227690135526,227690000000,PXM27PN,2026-09-03
230027958729,230028000000,PXM27PC,2026-09-03
230966604077,230967000000,PXM27P5,2026-09-03
233091790134,233092000000,PXM27NX,2026-09-03
235776590787,235777000000,PXM27P6,2026-09-03
240718307903,240718000000,PXM27PJ,2026-09-03
244367202305,244367000000,PXM27PY,2026-09-03
247518631900,247519000000,PXM27PW,2026-09-03
249547397475,249547000000,PXM27PK,2026-09-03
250907713460,250908000000,PXM27PV,2026-09-03
257319015267,257319000000,PXM27Q5,2026-09-03
258154400935,258154000000,PXM27PX,2026-09-03
259341339694,259341000000,PXM27QC,2026-09-03
267125411900,267125000000,PXM27QT,2026-09-03
270228919471,270229000000,PXM27QJ,2026-09-03
277676865459,277677000000,PXM27QM,2026-09-03
286883250187,286883000000,PXM27QY,2026-09-03
288928543070,288929000000,PXM27QB,2026-09-03
293137864489,293138000000,PXM27QP,2026-09-03
298741032682,298741000000,PXM27R6,2026-09-03
298950620694,298951000000,PXM27QW,2026-09-03
304091993815,304092000000,PXM27RG,2026-09-03
308366570336,308367000000,PXM27RC,2026-09-03
310181455170,310181000000,PXM27QS,2026-09-03
317966290025,317966000000,PXM27R2,2026-09-03
320985253643,320985000000,PXM27SF,2026-09-03
322480016617,322480000000,PXM27RZ,2026-09-03
337533714266,337534000000,PXM27S9,2026-09-03
340917156842,340917000000,PXM27R9,2026-09-03
341177401338,341177000000,PXM27S5,2026-09-03
341452507113,341453000000,PXM27RY,2026-09-03
344555623889,344556000000,PXM27RD,2026-09-03
344695118252,344695000000,PXM27RV,2026-09-03
344896037451,344896000000,PXM27RQ,2026-09-03
346258595180,346259000000,PXM27S2,2026-09-03
353523486463,353523000000,PXM27S7,2026-09-03
354668269133,354668000000,PXM27RW,2026-09-03
355543795396,355544000000,PXM27SB,2026-09-03
359636720609,359637000000,PXM27SY,2026-09-03
366500785480,366501000000,PXM27TB,2026-09-03
367030144594,367030000000,PXM27SD,2026-09-03
376655018029,376655000000,PXM27SR,2026-09-03
381587740313,381588000000,PXM27SN,2026-09-03
382580651415,382581000000,PXM27SP,2026-09-03
385761668806,385762000000,PXM27T2,2026-09-03
391777095925,391777000000,PXM27T6,2026-09-03
399815064971,399815000000,PXM27SV,2026-09-03
400132897286,400133000000,PXM27ST,2026-09-03
414112657395,414113000000,PXM27SH,2026-09-03
416295978335,416296000000,PXM27T9,2026-09-03
417873654184,417874000000,PXM27TG,2026-09-03
418279846166,418280000000,PXM27TF,2026-09-03
420896722747,420897000000,PXM27TX,2026-09-03
424803435058,424803000000,PXM27TY,2026-09-03
428377372429,428377000000,PXM572Y,2026-09-03
428790305189,428790000000,PXM27TS,2026-09-03
436408331178,436408000000,PXM27TR,2026-09-03
439850139354,439850000000,PXM27TV,2026-09-03
444305012670,444305000000,PXM27VG,2026-09-03
448458895760,448459000000,PXM27V9,2026-09-03
450381066001,450381000000,PXM27TZ,2026-09-03
453201328815,453201000000,PXM27VJ,2026-09-03
461895881899,461896000000,PXM27VT,2026-09-03
462670246049,462670000000,PXM27W6,2026-09-03
465688475852,465688000000,PXM27W8,2026-09-03
470192513532,470193000000,PXM27W2,2026-09-03
475243156669,475243000000,PXM27VV,2026-09-03
487331985631,487332000000,PXM27WC,2026-09-03
487809100689,487809000000,PXM27WN,2026-09-03
493211935917,493212000000,PXM27VS,2026-09-03
493972853161,493973000000,PXM27WH,2026-09-03
497718043458,497718000000,PXM27WD,2026-09-03
866910556958,866911000000,PXM2875,2026-09-03
868655057882,868655000000,PXM286Z,2026-09-03
876622251805,876622000000,PXM2879,2026-09-03
877005412424,877005000000,PXM286S,2026-09-03
896104760397,896105000000,PXM287F,2026-09-03
901537096392,901537000000,PXM287B,2026-09-03
901775738498,901776000000,PXM287Q,2026-09-03
901974169949,901974000000,PXM287D,2026-09-03
902959557485,902960000000,PXM287Y,2026-09-03
904122830463,904123000000,PXM287M,2026-09-03
905188397129,905188000000,PXM2877,2026-09-03
905311555563,905312000000,PXM2888,2026-09-03
909408463090,909408000000,PXM287V,2026-09-03
912599564132,912600000000,PXM287P,2026-09-03
916989315694,916989000000,PXM287J,2026-09-03
919921139525,919921000000,PXM287G,2026-09-03
926171589291,926172000000,PXM288J,2026-09-03
927708897582,927709000000,PXM2889,2026-09-03
929265219388,929265000000,PXM288F,2026-09-03
936735904835,936736000000,PXM288S,2026-09-03
937609387549,937609000000,PXM288T,2026-09-03
937804672709,937805000000,PXM288P,2026-09-03
942471928905,942472000000,PXM2892,2026-09-03
943165397823,943165000000,PXM2897,2026-09-03
945719020317,945719000000,PXM288Q,2026-09-03
947005452345,947005000000,PXM288N,2026-09-03
951734036981,951734000000,PXM289Z,2026-09-03
953557291202,953557000000,PXM289N,2026-09-03
955839809853,955840000000,PXM289X,2026-09-03
958131245008,958131000000,PXM289G,2026-09-03
958187821133,958188000000,PXM289S,2026-09-03
958277136161,958277000000,PXM289H,2026-09-03
961223187049,961223000000,PXM289W,2026-09-03
961978784050,961979000000,PXM289Q,2026-09-03
966901943733,966902000000,PXM28B2,2026-09-03
969224851921,969225000000,PXM2898,2026-09-03
991435917912,991436000000,PXM28BB,2026-09-03
993713837646,993714000000,PXM28BH,2026-09-03
604845574582,604846000000,PXM27X6,2026-09-03
606601406120,606601000000,PXM27WP,2026-09-03
609953052076,609953000000,PXM27XM,2026-09-03
614087686998,614088000000,PXM27WM,2026-09-03
615979634813,615980000000,PXM27XD,2026-09-03
616753265520,616753000000,PXM27WT,2026-09-03
616842857216,616843000000,PXM27X2,2026-09-03
621854429931,621854000000,PXM27YB,2026-09-03
624319471759,624319000000,PXM27XC,2026-09-03
625548516884,625549000000,PXM27XF,2026-09-03
629691122329,629691000000,PXM27XY,2026-09-03
630256253938,630256000000,PXM27YN,2026-09-03
632566105853,632566000000,PXM27Y6,2026-09-03
634238616711,634239000000,PXM27YK,2026-09-03
635078976898,635079000000,PXM27XR,2026-09-03
638295291720,638295000000,PXM27YD,2026-09-03
643794200272,643794000000,PXM27YS,2026-09-03
644726924860,644727000000,PXM27Z5,2026-09-03
647346926627,647347000000,PXM27YG,2026-09-03
